svyear,vsic1993,ER,XR,XSH,ESH,XRS,ERS
2000-2005,2213,3.5,0.5,0.0123901873031659,0.990601685883151,0.0125456300088113,15.0574374079529
2000-2005,2219,1.7,0.2,0.591480881803463,0.173776128857117,5.79146341463415,0.111348909484719
2000-2005,2221,4.12093023255814,0.506976744186047,0.550050832913182,0.602749329822026,1.18882722380963,0.215778873186837
2000-2005,2222,12.9230769230769,0.615384615384615,0.597609561752988,0.916018941049208,0.928217821782178,0.259701116648997
2000-2005,2230,5,0.5,0.892267103813939,0.892520084689231,8.28221588207323,1.66081277996654
2000-2005,2310,1,0.5,0.247819419150772,1,0.329467983434215,
2000-2005,2320,1.14285714285714,0.571428571428571,0.217060203654404,0.378540622205202,0.207928059731611,0.228418362324275
2000-2005,2411,1.27272727272727,0.386363636363636,0.160023923914965,0.253664101964691,0.30257486028592,0.133523999857979
2000-2005,2412,1.35897435897436,0.538461538461538,0.357852116446975,0.654732967091156,0.477663157322624,0.55458092141161
2000-2005,2413,1.84615384615385,0.538461538461538,0.0475485752215361,0.914055077665697,0.0427905513689994,1.32941983778615
2000-2005,2421,1.84615384615385,0.153846153846154,0.141114387335016,0.201584138829995,0.90364667762263,0.199880101337857
2000-2005,2422,2.80281690140845,0.436619718309859,0.381707858760845,0.521885803094754,0.796591508314715,0.224892319416261
2000-2005,2423,1.32758620689655,0.413793103448276,0.436507987030391,0.503230426651436,1.09741806578734,0.407833477626648
2000-2005,2424,2.28070175438597,0.456140350877193,0.207704287148457,0.151735171367331,0.312569429917886,0.0495352030570722
2000-2005,2429,3.43478260869565,0.543478260869565,0.60821944539836,0.450752180894408,1.30405740696882,0.176600254703573
2000-2005,2430,1,1,1,0.0960366159337464,,0.106239497778936
2000-2005,2511,0.814814814814815,0.518518518518519,0.0259096544607142,0.133028776798966,0.0246989049491684,0.104618742005853
2000-2005,2519,1.47191011235955,0.426966292134831,0.284951215834931,0.619311363359497,0.534836971944304,0.633341601022248
2000-2005,2520,2.76422764227642,0.414634146341463,0.218602808622061,0.487521765047309,0.394953722926951,0.211711412210081
2000-2005,2610,1.27777777777778,0.592592592592593,0.23975169674767,0.644760487357924,0.216809811753457,0.578696344993935
2000-2005,2691,1.125,0.369318181818182,0.251155844589598,0.543694735055711,0.572745211054715,0.686023998969315
2000-2005,2692,1.56,0.48,0.357048017858967,0.318973503659076,0.601603276902828,0.252200119131271
2000-2005,2693,0.64756446991404,0.597421203438396,0.255728648276422,0.506776677771163,0.231535903627859,0.584208275329984
2000-2005,2694,0.822429906542056,0.439252336448598,0.0881342308473338,0.246502903738648,0.123386344642562,0.193313029973685
